Guid,Title,Time,Duration,Postcode,Latitude,Longitude,Venue,Address,What3Words,Day,Hearing,Wheelchair,Chit,Open,OpenFormat,Format,Note,Code,Region,RegionArea,RegionAreaOrder,RegionIdentifier,RegionIdentifierType,Country,MeetingType,MeetingTypeNamespace,ScrapedDetails
61cffdea-6ee9-560b-920f-70ba152a4305,Inverkeithing,,,KY11 1LW,56.029211,-3.399488,Saint Peter In Chains,28 Hope St,overhear.ended.example,Thursday,False,True,False,True,1st Thur each mnth 'open'.,,,16793,Fife,East of Scotland,11,100,Intergroup,Scotland,Alcoholics Anonymous,AA,True
f2e7a43a-3fda-522e-8db9-df39ea4cf324,Lavenham Lunchtime,,,CO10 9QT,52.106684,0.79442,Lavenham Village Hall,Church St,tacky.shorthand.replaces,Tuesday,False,False,False,False,,,,17879,South East Anglian,Eastern,2,39,Intergroup,England,Alcoholics Anonymous,AA,True
ec2c29bb-af54-5fcf-960f-d317ce0c48f6,Lye,,,DY9 8BQ,52.463514,-2.115167,Atlantic House,Dudley Rd,grit.strain.stove,Monday,False,True,True,True,All mtgs 'open'.,,Chit system available. No mtgs held on Bank Holidays.,13068,Black Country,Midlands,3,72,Intergroup,England,Alcoholics Anonymous,AA,True
22433965-cb40-57ba-a4ae-3fa681c4f87f,One Day At A Time Big Book Study Online,,,,39.5152784,-9.1179465,Hosted From Sao Martinho Do Porto,Portugal ID: 196406401 PW: Promises,swats.lingers.overcoming,Wednesday,False,False,False,False,,,,16924,,,0,,,England,Alcoholics Anonymous,AA,True
7145a2fb-12e3-59fa-9d90-8c874bbbdb61,Popup Recovery Daily Meeting Online,10:30,1hr 45mins,,0,0,Zoom Meeting ID: 571 853 2196 Passcode: 193535 Https://Us02web.Zoom.Us/J/5718532196?Pwd=Wgu4dlpqruplv1r5q0dot3ltauxwdz09,Zoom Meeting ID: 571 853 2196 Passcode: 193535Https://Us02web.Zoom.Us/J/5718532196?Pwd=Wgu4dlpqruplv1r5q0dot3ltauxwdz09,prosecuted.amplification.showings,Saturday,False,False,False,True,All mtgs 'open'.,,Email: popuprecovery@outlook.com,17422,,,0,,,England,Alcoholics Anonymous,AA,True
032e81b6-72f2-523c-ba59-5fd69cec57f6,Romford Serenity,,,RM7 0PH,51.564977,0.184353,YMCA,Rush Green Rd,brands.stay.avoid,Saturday,False,True,False,True,All mtgs 'open'.,,,12816,North Thames,Eastern,2,37,Intergroup,England,Alcoholics Anonymous,AA,True
6641510f-17e0-54da-baf0-645305be9072,Rutherglen,,,G73 1JQ,55.829668,-4.223405,Rutherglen West & Wardlawhill Church,1 Weston Ave,mimic.meals.danger,Tuesday,False,True,False,True,All mtgs 'open'.,,,10548,Glasgow East,Glasgow,14,101,Intergroup,Scotland,Alcoholics Anonymous,AA,True
2b41758c-a01d-5b51-a6fa-bd51a0e3119a,Southampton Step,,1hr 30mins,SO15 5LG,50.922934,-1.432295,Shirley Baptist Church,"Keeble Centre,Church St",stir.hunter.locate,Thursday,False,False,False,False,,,,8535,Solent,South East,6,48,Intergroup,England,Alcoholics Anonymous,AA,True
86ec2fac-aab1-5aec-93e5-18cd29635ba0,Stansted Womens Mixed Topic,,,CM24 8AQ,51.903373,0.194756,Stansted Day Centre,"Crafton Green House,Stansted Mountfitchet",bulldozer.vacancies.flamingo,Sunday,False,True,False,False,,,,16186,East Herts or West Essex,Eastern,2,40,Intergroup,England,Alcoholics Anonymous,AA,True
e79ad6ca-7411-5da4-a07d-dd4cb05bd9fe,Tipperary Town Group AA,20:30,,,0,0,Community Service Centre,"Michael Street,Tipperary Town",prosecuted.amplification.showings,Monday,False,False,False,False,,Steps & Tradition,Entrance at rear on Blind St.,,Tipperary,UK,0,TIPPERARY,Region,Republic of Ireland,Alcoholics Anonymous,AA,True
f72d2d59-bcd9-52fd-8fbc-2c0d8dcaee26,Tipperary Town Group AA,20:30,,,0,0,Community Service Centre,"Michael Street,Tipperary Town",prosecuted.amplification.showings,Thursday,False,False,False,False,,,Entrance at rear on Blind St.,,Tipperary,UK,0,TIPPERARY,Region,Republic of Ireland,Alcoholics Anonymous,AA,True
4f67fa6b-bf4c-503f-ae2f-fc9ddde4ca20,Tipperary Town Group AA,20:30,,,0,0,Community Service Centre,"Michael Street,Tipperary Town",prosecuted.amplification.showings,Sunday,False,False,False,False,,,Entrance at rear on Blind St.,,Tipperary,UK,0,TIPPERARY,Region,Republic of Ireland,Alcoholics Anonymous,AA,True
